route_id,source,destination,date,temp,tempmin,tempmax,humidity,windspeed,precip,conditions,traffic_distance_m,traffic_duration_min,no_traffic_duration_min
2,Hyderabad,Miyapur,2025-11-19,20.2,15.5,26.7,55.6,11.2,0.0,Partially cloudy,21129,43.81666666666667,
2,Hyderabad,Miyapur,2025-11-20,20.5,16.1,26.8,52.9,13.0,0.0,Partially cloudy,21129,43.81666666666667,
2,Hyderabad,Miyapur,2025-11-21,20.0,15.0,26.9,51.7,13.0,0.0,Partially cloudy,21129,43.81666666666667,
2,Hyderabad,Miyapur,2025-11-22,20.3,15.8,26.9,56.3,13.0,0.0,Partially cloudy,21129,43.81666666666667,
2,Hyderabad,Miyapur,2025-11-23,19.4,16.3,24.0,59.4,15.5,0.0,Overcast,21129,43.81666666666667,
2,Hyderabad,Miyapur,2025-11-24,19.5,15.8,25.3,58.1,17.3,0.0,Overcast,21129,43.81666666666667,
2,Hyderabad,Miyapur,2025-11-25,20.2,15.9,26.0,60.6,16.9,0.0,Overcast,21129,43.81666666666667,
2,Hyderabad,Miyapur,2025-11-26,20.2,16.3,25.9,53.6,21.2,0.0,Partially cloudy,21129,43.81666666666667,
3,Hyderabad,Miyapur,2025-11-12,22.2,17.7,28.8,54.5,20.5,0.0,Clear,21129,44.2,
3,Hyderabad,Miyapur,2025-11-13,19.8,15.3,25.9,55.5,13.0,0.0,Clear,21129,44.2,
3,Hyderabad,Miyapur,2025-11-14,19.4,14.3,26.0,55.3,12.2,0.0,Clear,21129,44.2,
3,Hyderabad,Miyapur,2025-11-15,19.6,14.5,25.9,57.2,12.2,0.0,Clear,21129,44.2,
3,Hyderabad,Miyapur,2025-11-16,19.3,14.5,25.5,59.3,14.8,0.0,Partially cloudy,21129,44.2,
3,Hyderabad,Miyapur,2025-11-17,19.1,14.1,25.8,58.2,13.7,0.0,Clear,21129,44.2,
3,Hyderabad,Miyapur,2025-11-18,19.5,15.1,25.8,58.0,12.2,0.0,Partially cloudy,21129,44.2,
3,Hyderabad,Miyapur,2025-11-19,20.2,15.5,26.7,55.6,11.2,0.0,Partially cloudy,21129,44.2,
3,Hyderabad,Miyapur,2025-11-20,20.5,16.1,26.8,52.9,13.0,0.0,Partially cloudy,21129,44.2,
3,Hyderabad,Miyapur,2025-11-21,20.0,15.0,26.9,51.7,13.0,0.0,Partially cloudy,21129,44.2,
3,Hyderabad,Miyapur,2025-11-22,20.3,15.8,26.9,56.3,13.0,0.0,Partially cloudy,21129,44.2,
3,Hyderabad,Miyapur,2025-11-23,19.4,16.3,24.0,59.4,15.5,0.0,Overcast,21129,44.2,
3,Hyderabad,Miyapur,2025-11-24,19.5,15.8,25.3,58.1,17.3,0.0,Overcast,21129,44.2,
3,Hyderabad,Miyapur,2025-11-25,20.2,15.9,26.0,60.6,16.9,0.0,Overcast,21129,44.2,
3,Hyderabad,Miyapur,2025-11-26,20.2,16.3,25.9,53.6,21.2,0.0,Partially cloudy,21129,44.2,
1,Hyderabad,Uppal,2025-11-12,22.3,18.0,28.8,53.8,20.5,0.0,Clear,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-13,20.6,16.4,26.3,51.1,12.2,0.0,Clear,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-14,20.1,15.4,26.1,52.2,12.2,0.0,Clear,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-15,20.1,15.5,25.8,54.7,11.9,0.0,Clear,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-16,19.9,15.6,25.6,55.8,14.0,0.0,Partially cloudy,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-17,19.8,15.3,25.7,54.1,13.3,0.0,Clear,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-18,20.1,16.1,25.8,55.1,11.5,0.0,Partially cloudy,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-19,20.9,16.5,26.9,51.8,9.4,0.0,Partially cloudy,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-20,21.3,17.2,27.2,49.3,13.3,0.0,Partially cloudy,11412,25.316666666666663,
1,Hyderabad,Uppal,2025-11-21,20.8,16.2,27.0,49.8,11.2,0.0,Partially cloudy,11412,25.316666666666663,
